10.145.13.100 - - [03/Aug/2018:07:44:31 +0000] "GET /wolf/install/install-logo.png HTTP/1.1" 304 181 "http://10.145.13.100/wolf/install/index.php" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:61.0) Gecko/20100101 Firefox/61.0"
10.145.13.100 - - [03/Aug/2018:07:45:21 +0000] "GET /?/admin HTTP/1.1" 302 362 "http://10.145.13.100/wolf/install/index.php" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:61.0) Gecko/20100101 Firefox/61.0"
10.145.13.100 - - [03/Aug/2018:07:45:21 +0000] "GET /?/admin/login HTTP/1.1" 200 1433 "http://10.145.13.100/wolf/install/index.php" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:61.0) Gecko/20100101 Firefox/61.0"
10.145.13.100 - - [03/Aug/2018:07:45:21 +0000] "GET /wolf/admin/themes/brown_and_green/login.css HTTP/1.1" 200 1267 "http://10.145.13.100/?/admin/login" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:61.0) Gecko/20100101 Firefox/61.0"
10.145.13.100 - - [03/Aug/2018:07:45:21 +0000] "GET /wolf/admin/javascripts/jquery-1.8.3.min.js HTTP/1.1" 200 33783 "http://10.145.13.100/?/admin/login" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:61.0) Gecko/20100101 Firefox/61.0"
10.145.13.100 - - [03/Aug/2018:07:45:26 +0000] "POST /?/admin/login/login HTTP/1.1" 302 494 "http://10.145.13.100/?/admin/login" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:61.0) Gecko/20100101 Firefox/61.0"
10.145.13.100 - - [03/Aug/2018:07:45:26 +0000] "GET /?/admin HTTP/1.1" 200 5417 "http://10.145.13.100/?/admin/login" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:61.0) Gecko/20100101 Firefox/61.0"
10.145.13.100 - - [03/Aug/2018:07:45:27 +0000] "GET /wolf/admin/stylesheets/admin.css HTTP/1.1" 200 5040 "http://10.145.13.100/?/admin" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:61.0) Gecko/20100101 Firefox/61.0"
10.145.13.100 - - [03/Aug/2018:07:45:27 +0000] "GET /wolf/admin/javascripts/wolf.js HTTP/1.1" 200 1494 "http://10.145.13.100/?/admin" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:61.0) Gecko/20100101 Firefox/61.0"
10.145.13.100 - - [03/Aug/2018:07:45:27 +0000] "GET /wolf/admin/javascripts/cp-datepicker.js HTTP/1.1" 200 3034 "http://10.145.13.100/?/admin" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:61.0) Gecko/20100101 Firefox/61.0"
